title,company,city,country,job_type,date_published,month_posted,day_of_week,is_remote,salary,has_salary,company_rating,occupation,jobUrl,source,date_scraped
Analyste d'exploitation - F/H,INZERTY,Lille,France,Non spécifié,2026-03-05,2026-03,Thursday,False,"{""salaryCurrency"": ""EUR"", ""salarySource"": ""EXTRACTION"", ""salaryText"": ""30\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,0.0,"[""M\u00e9tiers des infrastructures et de la s\u00e9curit\u00e9 informatique"", ""M\u00e9tiers de l'informatique et des nouvelles technologies"", ""M\u00e9tiers des infrastructures informatiques""]",https://fr.indeed.com/viewjob?jk=9c18162187f052a5,Groupe VITAMINE T,2026-03-15
Stage 2 mois – Data Analyst / Lead Generation & CRM Performance,Vroom Market,Télétravail,France,Télétravail,2026-02-14,2026-02,Saturday,True,{},False,0.0,"[""M\u00e9tiers de la data et des bases de donn\u00e9es"", ""Analystes de donn\u00e9es"", ""M\u00e9tiers de l'informatique et des nouvelles technologies""]",https://fr.indeed.com/viewjob?jk=b34bbd23b79a5ac6,Indeed,2026-03-15
Consolideur analyste expérimenté (H/F),AEMA GROUPE,Niort,France,CDI,2026-03-02,2026-03,Monday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 70000, ""salaryMin"": 60000, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 60\u202f000 \u20ac \u00e0 70\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,3.0,"[""M\u00e9tiers de la finance et de la comptabilit\u00e9"", ""M\u00e9tiers de la comptabilit\u00e9"", ""M\u00e9tiers de l'audit financier et comptable"", ""M\u00e9tiers comptables""]",https://fr.indeed.com/viewjob?jk=a31e50d043c4f6d7,MACIF,2026-03-15
Analyste IT Sales (H/F),Boardriders,Saint-Jean-de-Luz,France,CDD,2026-02-13,2026-02,Friday,False,{},False,3.4,"[""M\u00e9tiers de l'informatique et des nouvelles technologies""]",https://fr.indeed.com/viewjob?jk=1c992cb0142ed40c,Boardriders,2026-03-15
Business Analyst,Atos,Colombelles,France,Non spécifié,2026-02-12,2026-02,Thursday,False,{},False,3.5,"[""M\u00e9tiers de la data et des bases de donn\u00e9es"", ""Analystes de donn\u00e9es"", ""M\u00e9tiers de l'informatique et des nouvelles technologies""]",https://fr.indeed.com/viewjob?jk=9cb2c2834afdd931,Atos,2026-03-15
Analyste d'Exploitation (H/F),AIRRIA,Dijon,France,CDI,2025-11-14,2025-11,Friday,False,{},False,3.5,"[""M\u00e9tiers des infrastructures et de la s\u00e9curit\u00e9 informatique"", ""M\u00e9tiers de l'informatique et des nouvelles technologies"", ""M\u00e9tiers des infrastructures informatiques""]",https://fr.indeed.com/viewjob?jk=76c321ae834c17c2,AIRRIA,2026-03-15
Prudential Standards Senior Analyst (F/H),Natixis,Paris,France,CDI,2026-01-29,2026-01,Thursday,False,{},False,3.9,"[""M\u00e9tiers de la finance et de la comptabilit\u00e9"", ""M\u00e9tiers de conformit\u00e9 et de r\u00e9glementation financi\u00e8re"", ""M\u00e9tiers du support aux op\u00e9rations financi\u00e8res"", ""M\u00e9tiers du conseil financier, de l'analyse et de la gestion de placements"", ""M\u00e9tiers de l'analyse des risques financiers"", ""M\u00e9tiers de l'analyse financi\u00e8re""]",https://fr.indeed.com/viewjob?jk=06e8683a6e515922,Natixis,2026-03-15
Analyste Fonctionnel H/F,UEM,Metz,France,CDI,2024-11-24,2024-11,Sunday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 51000, ""salaryMin"": 43000, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 43\u202f000 \u20ac \u00e0 51\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,3.4,"[""Ing\u00e9nieurs/es et analystes en applications et syst\u00e8mes informatiques"", ""M\u00e9tiers des infrastructures et de la s\u00e9curit\u00e9 informatique"", ""M\u00e9tiers de l'informatique et des nouvelles technologies"", ""M\u00e9tiers des infrastructures informatiques"", ""M\u00e9tiers des syst\u00e8mes et des applications informatiques""]",https://fr.indeed.com/viewjob?jk=e806f60c2478ebed,UEM,2026-03-15
Data scientist H/F,GROUPE AFNOR,Saint-Denis,France,Non spécifié,2026-01-22,2026-01,Thursday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 65000, ""salaryMin"": 50000, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 50\u202f000 \u20ac \u00e0 65\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,3.8,"[""M\u00e9tiers de la data et des bases de donn\u00e9es"", ""M\u00e9tiers de l'informatique et des nouvelles technologies"", ""Scientifiques des donn\u00e9es""]",https://fr.indeed.com/viewjob?jk=b7e375c58aa1aa99,Afnor Groupe,2026-03-15
Business Data Analyst H/F,Matmut,Rouen,France,CDI,2025-12-24,2025-12,Wednesday,False,"{""salaryCurrency"": ""EUR"", ""salarySource"": ""EXTRACTION"", ""salaryText"": ""46\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,3.1,"[""M\u00e9tiers de la data et des bases de donn\u00e9es"", ""Analystes de donn\u00e9es"", ""M\u00e9tiers de l'informatique et des nouvelles technologies""]",https://fr.indeed.com/viewjob?jk=d374c2821515c57d,Matmut,2026-03-15
